,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A01_02_1FE__bin.20_00039,0,0,0,1,54,0,0,79,0,0,0,0,0,0,83,1,957,0,0,0,90,62,0,1,0,155,0,66,0,298,86,0,0,0,50,0,1,0,0,85,0,0,0,1,29,0,0,12,0,0,1,11,9,0,1,182,0,0,0,0,1,0,0,0,0,361,56,1,0,0,0,49,0,0,57,0,0,53,0,0,241,199,1089,0,145,0,0,0,0,0,120,0,0,0,0,420,1,106,69,0,28,0,0,189,0,0,0,106,0,82
A01_02_1FE__bin.20_00040,0,0,0,4,150,0,0,291,2,0,0,0,0,0,399,1,4339,0,0,0,180,333,0,0,2,695,0,99,0,1299,550,0,2,0,172,0,0,0,0,365,1,0,0,5,23,2,0,0,0,0,1,117,69,0,4,962,0,0,0,1,0,5,3,1,3,1940,312,2,1,1,0,393,0,1,196,0,3,176,0,0,1310,744,6363,0,579,0,1,3,1,0,526,0,0,0,0,2030,2,432,102,17,6,0,0,827,0,0,0,569,0,269
A01_02_1FE__bin.20_00041,0,0,0,1,117,0,0,184,1,0,0,0,0,0,282,7,2258,0,0,0,248,175,0,3,0,378,1,92,1,521,302,0,0,1,118,0,1,0,0,238,0,0,1,3,18,0,0,0,0,0,0,27,64,0,3,402,0,0,1,0,1,2,0,0,0,1100,190,1,1,0,0,234,0,1,173,0,0,156,0,6,623,361,2809,0,388,0,0,0,0,0,310,0,0,1,0,1131,0,255,133,12,9,0,0,457,0,0,0,326,0,201
A01_02_1FE__bin.20_00042,0,0,0,9,44,0,0,83,0,0,0,0,0,0,178,2,1305,0,1,3,83,123,0,1,0,199,0,49,0,380,112,0,0,1,69,0,0,0,0,144,2,0,1,3,6,1,2,2,0,0,1,1,1,0,2,186,0,0,0,0,0,2,1,0,0,485,103,2,0,0,0,30,0,0,42,1,0,20,1,0,247,245,1086,0,216,0,0,0,0,0,176,0,0,0,0,509,1,137,25,5,5,0,0,238,0,0,0,90,0,110
A01_02_1FE__bin.20_00043,2,0,0,6,32,0,0,88,1,0,0,1,0,2,153,1,1277,0,0,1,71,110,0,1,0,213,0,37,2,373,155,1,4,0,59,0,0,0,0,120,0,0,0,1,10,0,1,1,0,0,0,3,20,0,1,227,0,0,0,0,1,1,2,0,2,532,65,0,2,2,0,37,1,0,83,0,0,13,0,0,301,221,1310,0,168,0,0,0,0,0,160,0,0,0,0,549,2,94,34,1,4,0,0,249,1,0,0,158,0,117
A01_02_1FE__bin.20_00045,10,0,1,3,176,3,0,194,3,2,0,0,0,0,293,5,3842,0,2,3,214,286,0,2,5,684,2,45,4,1056,451,0,4,3,238,0,1,1,0,355,0,2,4,7,11,18,1,3,0,3,2,98,66,5,5,773,1,0,5,4,2,3,9,4,10,1661,292,5,8,9,0,232,0,3,185,0,5,186,2,0,1096,713,5262,0,520,0,2,5,1,0,509,2,0,3,0,1574,15,368,120,6,17,0,1,671,2,0,0,533,2,173
A01_02_1FE__bin.20_00047,0,0,1,2,47,0,0,108,1,1,0,0,0,0,168,0,1595,0,0,2,121,141,0,0,2,231,2,54,2,420,159,0,2,0,72,0,0,0,0,210,1,0,0,1,17,1,0,4,0,0,0,10,25,2,4,223,0,0,0,1,0,0,1,0,1,531,95,0,1,2,0,87,1,0,69,0,1,53,0,0,291,262,1432,0,206,1,1,0,0,2,232,0,0,1,0,600,1,156,64,8,41,0,0,301,0,0,0,157,0,126
A01_02_1FE__bin.20_00048,1,0,0,3,10,0,0,15,0,0,0,1,0,1,66,2,391,0,0,1,34,36,1,0,1,54,0,7,1,111,34,0,1,0,18,0,2,1,0,35,0,0,0,1,2,3,2,0,0,0,0,2,1,2,6,70,1,0,0,0,0,2,0,0,1,144,30,1,0,3,0,21,1,0,26,0,2,4,1,0,60,59,335,0,42,0,0,0,0,0,63,0,0,0,0,126,0,32,19,2,1,0,0,70,0,0,0,53,0,15
A01_02_1FE__bin.20_00049,4,0,0,2,111,0,0,97,2,0,0,0,1,0,191,0,1862,0,1,0,110,188,0,0,0,233,0,91,3,431,192,0,3,1,148,0,0,0,0,206,1,0,0,0,10,3,0,8,2,0,1,56,27,3,0,325,0,0,2,0,0,3,7,1,1,753,174,1,3,2,0,117,3,1,104,0,1,103,0,0,415,333,1996,1,284,0,0,4,1,1,240,0,0,0,0,739,0,168,51,9,2,0,0,348,2,0,0,219,0,130
A01_02_1FE__bin.20_00050,1,0,0,0,31,2,0,26,1,0,0,0,0,0,53,5,579,0,3,1,7,16,0,1,1,72,0,7,1,200,38,0,3,0,33,0,0,0,0,31,0,2,1,7,3,1,1,0,0,1,1,2,5,0,1,104,0,0,0,4,0,5,1,1,1,244,28,4,0,1,0,33,1,0,15,0,4,17,0,0,161,130,681,0,91,0,0,0,0,0,69,0,0,1,0,195,3,41,15,0,2,0,0,73,2,0,0,60,1,44
A01_02_1FE__bin.20_00052,0,0,0,6,127,0,0,152,0,0,0,0,0,0,241,0,1919,0,0,0,106,164,0,0,0,331,4,70,0,584,252,0,0,1,96,0,0,0,0,213,0,0,0,0,6,2,0,1,0,0,1,55,20,0,1,387,0,0,0,0,1,0,1,1,0,838,97,0,2,1,0,127,1,0,120,0,0,81,1,0,485,360,2420,0,270,0,0,1,0,0,271,0,0,0,0,829,0,228,48,32,5,0,0,357,0,0,0,233,0,137
